,Average_Temperature,Average_Humidity,Precipitation,date
0,80.0,67.0,0.0,2015-01-01
1,80.0,73.0,0.0,2015-01-02
2,78.0,90.0,0.0,2015-01-03
3,75.0,83.0,0.0,2015-01-04
4,74.0,88.0,0.0,2015-01-05
5,76.0,86.0,0.0,2015-01-06
6,76.0,81.0,0.0,2015-01-07
7,76.0,75.0,0.0,2015-01-08
8,80.0,70.0,0.0,2015-01-09
9,83.0,69.0,0.0,2015-01-10
10,82.0,77.0,0.0,2015-01-11
11,80.0,76.0,0.0,2015-01-12
12,78.0,73.0,0.0,2015-01-13
13,80.0,78.0,0.0,2015-01-14
14,80.0,81.0,0.0,2015-01-15
15,79.0,80.0,0.0,2015-01-16
16,80.0,71.0,0.0,2015-01-17
17,82.0,71.0,0.0,2015-01-18
18,83.0,64.0,0.0,2015-01-19
19,82.0,71.0,0.0,2015-01-20
20,78.0,78.0,0.0,2015-01-21
21,72.0,89.0,0.0,2015-01-22
22,72.0,88.0,0.0,2015-01-23
23,74.0,86.0,0.0,2015-01-24
24,74.0,75.0,0.0,2015-01-25
25,75.0,78.0,0.0,2015-01-26
26,74.0,77.0,0.0,2015-01-27
27,76.0,75.0,0.0,2015-01-28
28,77.0,74.0,0.0,2015-01-29
29,74.0,83.0,0.0,2015-01-30
30,72.0,90.0,0.0,2015-01-31
31,76.0,85.0,0.0,2015-02-01
32,72.0,91.0,0.0,2015-02-02
33,73.0,87.0,0.0,2015-02-03
34,70.0,88.0,0.0,2015-02-04
35,68.0,93.0,0.0,2015-02-05
36,72.0,91.0,0.0,2015-02-06
37,73.0,85.0,0.0,2015-02-07
38,75.0,87.0,0.0,2015-02-08
39,75.0,87.0,0.0,2015-02-09
40,75.0,88.0,0.0,2015-02-10
41,78.0,75.0,0.0,2015-02-11
42,79.0,74.0,0.0,2015-02-12
43,79.0,83.0,0.0,2015-02-13
44,78.0,83.0,0.0,2015-02-14
45,73.0,87.0,0.0,2015-02-15
46,73.0,89.0,0.0,2015-02-16
47,74.0,88.0,0.0,2015-02-17
48,73.0,89.0,0.0,2015-02-18
49,74.0,81.0,0.0,2015-02-19
50,76.0,75.0,0.0,2015-02-20
51,78.0,80.0,0.0,2015-02-21
52,77.0,79.0,0.0,2015-02-22
53,78.0,78.0,0.0,2015-02-23
54,75.0,83.0,0.0,2015-02-24
55,76.0,86.0,0.0,2015-02-25
56,75.0,82.0,0.0,2015-02-26
57,76.0,81.0,0.0,2015-02-27
58,73.0,87.0,0.0,2015-02-28
59,71.0,81.0,0.0,2015-03-01
60,72.0,80.0,0.0,2015-03-02
61,75.0,82.0,0.0,2015-03-03
62,75.0,81.0,0.0,2015-03-04
63,76.0,79.0,0.0,2015-03-05
64,74.0,87.0,0.0,2015-03-06
65,75.0,94.0,0.0,2015-03-07
66,72.0,92.0,0.0,2015-03-08
67,72.0,92.0,0.0,2015-03-09
68,73.0,87.0,0.0,2015-03-10
69,75.0,85.0,0.0,2015-03-11
70,72.0,88.0,0.0,2015-03-12
71,74.0,90.0,0.0,2015-03-13
72,73.0,88.0,0.0,2015-03-14
73,72.0,91.0,0.0,2015-03-15
74,74.0,89.0,0.0,2015-03-16
75,70.0,87.0,0.0,2015-03-17
76,70.0,91.0,0.0,2015-03-18
77,72.0,89.0,0.0,2015-03-19
78,72.0,90.0,0.0,2015-03-20
79,70.0,91.0,0.0,2015-03-21
80,68.0,94.0,0.0,2015-03-22
81,66.0,85.0,0.0,2015-03-23
82,70.0,83.0,0.0,2015-03-24
83,70.0,82.0,0.0,2015-03-25
84,74.0,79.0,0.0,2015-03-26
85,74.0,78.0,0.0,2015-03-27
86,74.0,81.0,0.0,2015-03-28
87,73.0,91.0,0.0,2015-03-29
88,72.0,88.0,0.0,2015-03-30
89,75.0,81.0,0.0,2015-03-31
90,73.0,80.0,0.0,2015-04-01
91,68.0,81.0,0.0,2015-04-02
92,68.0,85.0,0.0,2015-04-03
93,74.0,80.0,0.0,2015-04-04
94,73.0,83.0,0.0,2015-04-05
95,72.0,81.0,0.0,2015-04-06
96,64.0,90.0,0.0,2015-04-07
97,65.0,82.0,0.0,2015-04-08
98,68.0,85.0,0.0,2015-04-09
99,68.0,86.0,0.0,2015-04-10
100,72.0,81.0,0.0,2015-04-11
101,68.0,87.0,0.0,2015-04-12
102,70.0,85.0,0.0,2015-04-13
103,73.0,83.0,0.0,2015-04-14
104,74.0,85.0,0.0,2015-04-15
105,71.0,92.0,0.0,2015-04-16
106,69.0,88.0,0.0,2015-04-17
107,74.0,84.0,0.0,2015-04-18
108,74.0,90.0,0.0,2015-04-19
109,75.0,88.0,0.0,2015-04-20
110,76.0,89.0,0.0,2015-04-21
111,68.0,96.0,0.0,2015-04-22
112,70.0,92.0,0.0,2015-04-23
113,75.0,85.0,0.0,2015-04-24
114,68.0,84.0,0.0,2015-04-25
115,66.0,88.0,0.0,2015-04-26
116,68.0,82.0,0.0,2015-04-27
117,70.0,84.0,0.0,2015-04-28
118,64.0,87.0,0.0,2015-04-29
119,64.0,87.0,0.0,2015-04-30
120,63.0,87.0,0.0,2015-05-01
121,62.0,95.0,0.0,2015-05-02
122,69.0,86.0,0.0,2015-05-03
123,68.0,81.0,0.0,2015-05-04
124,66.0,91.0,0.0,2015-05-05
125,64.0,91.0,0.0,2015-05-06
126,64.0,88.0,0.0,2015-05-07
127,60.0,84.0,0.0,2015-05-08
128,67.0,83.0,0.0,2015-05-09
129,62.0,96.0,0.0,2015-05-10
130,64.0,87.0,0.0,2015-05-11
131,61.0,88.0,0.0,2015-05-12
132,62.0,89.0,0.0,2015-05-13
133,64.0,87.0,0.0,2015-05-14
134,62.0,88.0,0.0,2015-05-15
135,62.0,88.0,0.0,2015-05-16
136,64.0,86.0,0.0,2015-05-17
137,64.0,92.0,0.0,2015-05-18
138,66.0,91.0,0.0,2015-05-19
139,66.0,87.0,0.0,2015-05-20
140,67.0,86.0,0.0,2015-05-21
141,68.0,85.0,0.0,2015-05-22
142,67.0,84.0,0.0,2015-05-23
143,68.0,80.0,0.0,2015-05-24
144,68.0,83.0,0.0,2015-05-25
145,70.0,89.0,0.0,2015-05-26
146,74.0,78.0,0.0,2015-05-27
147,68.0,82.0,0.0,2015-05-28
148,63.0,85.0,0.0,2015-05-29
149,60.0,77.0,0.0,2015-05-30
150,58.0,98.0,0.0,2015-05-31
151,62.0,97.0,0.0,2015-06-01
152,62.0,93.0,0.0,2015-06-02
153,64.0,90.0,0.0,2015-06-03
154,67.0,93.0,0.0,2015-06-04
155,63.0,91.0,0.0,2015-06-05
156,66.0,88.0,0.0,2015-06-06
157,66.0,82.0,0.0,2015-06-07
158,66.0,79.0,0.0,2015-06-08
159,66.0,79.0,0.0,2015-06-09
160,66.0,77.0,0.0,2015-06-10
161,68.0,70.0,0.0,2015-06-11
162,64.0,90.0,0.0,2015-06-12
163,70.0,77.0,0.0,2015-06-13
164,70.0,65.0,0.0,2015-06-14
165,63.0,90.0,0.0,2015-06-15
166,58.0,92.0,0.0,2015-06-16
167,68.0,91.0,0.0,2015-06-17
168,70.0,83.0,0.0,2015-06-18
169,60.0,91.0,0.0,2015-06-19
170,62.0,83.0,0.0,2015-06-20
171,64.0,88.0,0.0,2015-06-21
172,63.0,83.0,0.0,2015-06-22
173,66.0,84.0,0.0,2015-06-23
174,58.0,94.0,0.0,2015-06-24
175,60.0,87.0,0.0,2015-06-25
176,60.0,85.0,0.0,2015-06-26
177,59.0,86.0,0.0,2015-06-27
178,60.0,84.0,0.0,2015-06-28
179,62.0,83.0,0.0,2015-06-29
180,67.0,73.0,0.0,2015-06-30
181,66.0,84.0,0.0,2015-07-01
182,64.0,92.0,0.0,2015-07-02
183,64.0,96.0,0.0,2015-07-03
184,61.0,91.0,0.0,2015-07-04
185,54.0,91.0,0.0,2015-07-05
186,60.0,87.0,0.0,2015-07-06
187,62.0,96.0,0.0,2015-07-07
188,64.0,91.0,0.0,2015-07-08
189,64.0,79.0,0.0,2015-07-09
190,65.0,85.0,0.0,2015-07-10
191,62.0,89.0,0.0,2015-07-11
192,68.0,81.0,0.0,2015-07-12
193,70.0,67.0,0.0,2015-07-13
194,74.0,62.0,0.0,2015-07-14
195,68.0,79.0,0.0,2015-07-15
196,69.0,86.0,0.0,2015-07-16
197,66.0,86.0,0.0,2015-07-17
198,64.0,80.0,0.0,2015-07-18
199,66.0,74.0,0.0,2015-07-19
200,66.0,70.0,0.0,2015-07-20
201,64.0,73.0,0.0,2015-07-21
202,58.0,91.0,0.0,2015-07-22
203,64.0,89.0,0.0,2015-07-23
204,68.0,83.0,0.0,2015-07-24
205,60.0,99.0,0.0,2015-07-25
206,63.0,85.0,0.0,2015-07-26
207,60.0,80.0,0.0,2015-07-27
208,64.0,84.0,0.0,2015-07-28
209,60.0,87.0,0.0,2015-07-29
210,65.0,88.0,0.0,2015-07-30
211,68.0,86.0,0.0,2015-07-31
212,66.0,74.0,0.0,2015-08-01
213,64.0,72.0,0.0,2015-08-02
214,66.0,68.0,0.0,2015-08-03
215,66.0,70.0,0.0,2015-08-04
216,66.0,68.0,0.0,2015-08-05
217,70.0,66.0,0.0,2015-08-06
218,70.0,67.0,0.0,2015-08-07
219,66.0,70.0,0.0,2015-08-08
220,66.0,83.0,0.0,2015-08-09
221,70.0,76.0,0.0,2015-08-10
222,68.0,77.0,0.0,2015-08-11
223,66.0,75.0,0.0,2015-08-12
224,66.0,72.0,0.0,2015-08-13
225,66.0,73.0,0.0,2015-08-14
226,66.0,69.0,0.0,2015-08-15
227,68.0,68.0,0.0,2015-08-16
228,68.0,73.0,0.0,2015-08-17
229,68.0,66.0,0.0,2015-08-18
230,72.0,62.0,0.0,2015-08-19
231,60.0,86.0,0.0,2015-08-20
232,64.0,82.0,0.0,2015-08-21
233,66.0,85.0,0.0,2015-08-22
234,70.0,79.0,0.0,2015-08-23
235,62.0,88.0,0.0,2015-08-24
236,64.0,95.0,0.0,2015-08-25
237,67.0,88.0,0.0,2015-08-26
238,60.0,94.0,0.0,2015-08-27
239,61.0,86.0,0.0,2015-08-28
240,66.0,85.0,0.0,2015-08-29
241,71.0,77.0,0.0,2015-08-30
242,72.0,67.0,0.0,2015-08-31
243,71.0,77.0,0.0,2015-09-01
244,62.0,86.0,0.0,2015-09-02
245,67.0,82.0,0.0,2015-09-03
246,60.0,91.0,0.0,2015-09-04
247,62.0,87.0,0.0,2015-09-05
248,62.0,91.0,0.0,2015-09-06
249,68.0,93.0,0.0,2015-09-07
250,65.0,96.0,0.0,2015-09-08
251,65.0,86.0,0.0,2015-09-09
252,67.0,91.0,0.0,2015-09-10
253,64.0,92.0,0.0,2015-09-11
254,57.0,97.0,0.0,2015-09-12
255,58.0,93.0,0.0,2015-09-13
256,62.0,87.0,0.0,2015-09-14
257,73.0,84.0,0.0,2015-09-15
258,78.0,72.0,0.0,2015-09-16
259,78.0,58.0,0.0,2015-09-17
260,78.0,61.0,0.0,2015-09-18
261,78.0,62.0,0.0,2015-09-19
262,78.0,77.0,0.0,2015-09-20
263,76.0,73.0,0.0,2015-09-21
264,74.0,59.0,0.0,2015-09-22
265,75.0,56.0,0.0,2015-09-23
266,78.0,53.0,0.0,2015-09-24
267,76.0,76.0,0.0,2015-09-25
268,68.0,94.0,0.0,2015-09-26
269,76.0,84.0,0.0,2015-09-27
270,70.0,82.0,0.0,2015-09-28
271,72.0,83.0,0.0,2015-09-29
272,73.0,84.0,0.0,2015-09-30
273,71.0,90.0,0.0,2015-10-01
274,78.0,82.0,0.0,2015-10-02
275,72.0,83.0,0.0,2015-10-03
276,66.0,93.0,0.0,2015-10-04
277,65.0,86.0,0.0,2015-10-05
278,68.0,85.0,0.0,2015-10-06
279,74.0,74.0,0.0,2015-10-07
280,78.0,64.0,0.0,2015-10-08
281,76.0,72.0,0.0,2015-10-09
282,75.0,76.0,0.0,2015-10-10
283,75.0,80.0,0.0,2015-10-11
284,75.0,74.0,0.0,2015-10-12
285,72.0,83.0,0.0,2015-10-13
286,75.0,82.0,0.0,2015-10-14
287,80.0,67.0,0.0,2015-10-15
288,82.0,68.0,0.0,2015-10-16
289,74.0,85.0,0.0,2015-10-17
290,64.0,86.0,0.0,2015-10-18
291,70.0,84.0,0.0,2015-10-19
292,80.0,73.0,0.0,2015-10-20
293,81.0,63.0,0.0,2015-10-21
294,68.0,92.0,0.0,2015-10-22
295,71.0,85.0,0.0,2015-10-23
296,66.0,88.0,0.0,2015-10-24
297,64.0,90.0,0.0,2015-10-25
298,72.0,91.0,0.0,2015-10-26
299,74.0,90.0,0.0,2015-10-27
300,72.0,88.0,0.0,2015-10-28
301,72.0,85.0,0.0,2015-10-29
302,74.0,76.0,0.0,2015-10-30
303,76.0,78.0,0.0,2015-10-31
304,70.0,96.0,0.0,2015-11-01
305,73.0,94.0,0.0,2015-11-02
306,74.0,89.0,0.0,2015-11-03
307,74.0,92.0,0.0,2015-11-04
308,72.0,90.0,0.0,2015-11-05
309,70.0,94.0,0.0,2015-11-06
310,66.0,93.0,0.0,2015-11-07
311,68.0,94.0,0.0,2015-11-08
312,76.0,90.0,0.0,2015-11-09
313,76.0,88.0,0.0,2015-11-10
314,78.0,82.0,0.0,2015-11-11
315,78.0,83.0,0.0,2015-11-12
316,77.0,84.0,0.0,2015-11-13
317,76.0,80.0,0.0,2015-11-14
318,74.0,84.0,0.0,2015-11-15
319,72.0,89.0,0.0,2015-11-16
320,75.0,88.0,0.0,2015-11-17
321,75.0,78.0,0.0,2015-11-18
322,78.0,77.0,0.0,2015-11-19
323,75.0,80.0,0.0,2015-11-20
324,68.0,90.0,0.0,2015-11-21
325,72.0,82.0,0.0,2015-11-22
326,70.0,97.0,0.0,2015-11-23
327,68.0,90.0,0.0,2015-11-24
328,72.0,91.0,0.0,2015-11-25
329,74.0,84.0,0.0,2015-11-26
330,73.0,81.0,0.0,2015-11-27
331,75.0,86.0,0.0,2015-11-28
332,73.0,93.0,0.0,2015-11-29
333,66.0,95.0,0.0,2015-11-30
334,70.0,92.0,0.0,2015-12-01
335,74.0,89.0,0.0,2015-12-02
336,73.0,89.0,0.0,2015-12-03
337,75.0,87.0,0.0,2015-12-04
338,78.0,85.0,0.0,2015-12-05
339,73.0,93.0,0.0,2015-12-06
340,68.0,92.0,0.0,2015-12-07
341,73.0,87.0,0.0,2015-12-08
342,74.0,84.0,0.0,2015-12-09
343,74.0,78.0,0.0,2015-12-10
344,78.0,79.0,0.0,2015-12-11
345,78.0,84.0,0.0,2015-12-12
346,76.0,84.0,0.0,2015-12-13
347,78.0,78.0,0.0,2015-12-14
348,79.0,76.0,0.0,2015-12-15
349,72.0,93.0,0.0,2015-12-16
350,74.0,87.0,0.0,2015-12-17
351,78.0,74.0,0.0,2015-12-18
352,78.0,80.0,0.0,2015-12-19
353,74.0,90.0,0.0,2015-12-20
354,77.0,91.0,0.0,2015-12-21
355,77.0,82.0,0.0,2015-12-22
356,79.0,76.0,0.0,2015-12-23
357,78.0,87.0,0.0,2015-12-24
358,78.0,90.0,0.0,2015-12-25
359,78.0,84.0,0.0,2015-12-26
360,76.0,85.0,0.0,2015-12-27
361,74.0,88.0,0.0,2015-12-28
362,73.0,88.0,0.0,2015-12-29
363,71.0,81.0,0.0,2015-12-30
364,78.0,75.0,0.0,2015-12-31
